domain,s,ip_address
google.com.,,
facebook.com.,,
doubleclick.net.,,
google-analytics.com.,,
googlesyndication.com.,,
googleapis.com.,,
googleadservices.com.,,
youtube.com.,,
twitter.com.,,
scorecardresearch.com.,,
microsoft.com.,,
googleusercontent.com.,,
apple.com.,,
yahoo.com.,,
bluekai.com.,,
time.com.,,
netlify.com.,,
2.debian.pool.ntp.org.,,
contile.services.mozilla.com.,,
content-signature-2.cdn.mozilla.net.,,
r3.o.lencr.org.,,
ocsp.pki.goog.,,
services.addons.mozilla.org.,,
ocsp.digicert.com.,,
www.gstatic.com.,,
adservice.google.co.in.,,
www.filmyzilla.com.ng.,,
cdnjs.cloudflare.com.,,
www.googletagmanager.com.,,
www.statcounter.com.,,
sstatic1.histats.com.,,
i.ytimg.com.,,
indianexpress.com.,,
www.googletagservices.com.,,
ads.pubmatic.com.,,
applets.ebxcdn.com.,,
cdn.moengage.com.,,
static.chartbeat.com.,,
connect.facebook.net.,,
ping.chartbeat.net.,,
ocsp.r2m01.amazontrust.com.,,
status.thawte.com.,,
fast.com.,,
stats.wp.com.,,
ichnaea-web.netflix.com.,,
ipv4-c002-cok001-bsnl-isp.1.oca.nflxvideo.net.,,
oa.openxcdn.net.,,
cdn.prod.uidapi.com.,,
cdn.jsdelivr.net.,,
static.criteo.net.,,
cdn-ima.33across.com.,,
tags.crwdcntrl.net.,,
invstatic101.creativecdn.com.,,
cdn.vuukle.com.,,
get.geojs.io.,,
wrappers.geoedge.be.,,
id.a-mx.com.,,
ap.lijit.com.,,
prebid.a-mo.net.,,
ib.adnxs.com.,,
tpcs.payu.in.,,
cdn.taboola.com.,,
rtbcdn.andbeyond.media.,,
schema.postman.com.,,
www.papermag.com.,,
5i68sbhin.com.,,
ku42hjr2e.com.,,
s.orbsrv.com.,,
mc.yandex.ru.,,
s3t3d2y8.afcdn.net.,,
ocsp.globalsign.com.,,
mc.yandex.md.,,
xhamster.desi.,,
ic-ut-nss.xhcdn.com.,,
d3c.life.,,
lcdn.tsyndicate.com.,,
img.strpst.com.,,
assets-widget-ah.flixcdn.com.,,
go.xlivrdr.com.,,
edge-hls.sacdnssedge.com.,,
apoorvctf.iiitkottayam.ac.in.,,
ocsp.godaddy.com.,,
www.aircrack-ng.org.,,
locate.measurementlab.net.,,
ndt-mlab2-maa02.mlab-oti.measurement-lab.org.,,
www.scamadviser.com.,,
go.ezodn.com.,,
www.humix.com.,,
whitelabel-manager-production.ams3.digitaloceanspaces.com.,,
use.typekit.net.,,
g.ezoic.net.,,
yt3.ggpht.com.,,
rtb.adxpremium.services.,,
prebid.smilewanted.com.,,
c.amazon-adsystem.com.,,
script.4dex.io.,,
prebid.media.net.,,
bidder.criteo.com.,,
fastlane.rubiconproject.com.,,
shb.richaudience.com.,,
rtb.openx.net.,,
htlb.casalemedia.com.,,
qsearch-a.akamaihd.net.,,
js-sec.indexww.com.,,
id.hadron.ad.gt.,,
id5-sync.com.,,
match.adsrvr.org.,,
cadmus.script.ac.,,
btloader.com.,,
cdn.hadronid.net.,,
secure.cdn.fastclick.net.,,
isro.gov.in.,,
status.rapidssl.com.,,
launchpad.privacymanager.io.,,
ad-delivery.net.,,
proc.ad.cpe.dotomi.com.,,
lb.eu-1-id5-sync.com.,,
github.com.,,
dnacdn.net.,,
sync.smartadserver.com.,,
ice.360yield.com.,,
a.teads.tv.,,
cm.adform.net.,,
us.shb-sync.com.,,
s.ad.smaato.net.,,
sync.colossusssp.com.,,
pixel.tapad.com.,,
bh.contextweb.com.,,
ocsp.sectigo.com.,,
videosvc.ezoic.com.,,
github.githubassets.com.,,
s0.2mdn.net.,,
secure.quantserve.com.,,
rules.quantcount.com.,,
avatars.githubusercontent.com.,,
vedas.sac.gov.in.,,
www.isro.gov.in.cdn.cloudflare.net.,,
gola.com.,0.0,34.160.81.203
